Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
,,International (T1 Only),,,Domestic (T1 & T2),,,"Transit &
transfer
passengers"
FY2005,Total,Arrival,Departure,Total,Arrival,Departure,Total,T1 & T2
Jul 2004,"389,426","39,424","36,587","76,011","135,134","137,283","272,417","40,998"
Aug 2004,"387,617","37,727","43,391","81,118","132,192","135,418","267,610","38,889"
Sep 2004,"357,195","37,204","35,114","72,318","124,900","121,142","246,042","38,835"
Oct 2004,"373,819","41,186","37,888","79,074","122,802","130,897","253,699","41,046"
Nov 2004,"338,058","39,977","38,299","78,276","107,294","112,858","220,152","39,630"
Dec 2004,"320,191","36,593","32,081","68,674","106,623","106,414","213,037","38,480"
Jan 2005,"326,162","39,177","38,341","77,518","101,510","108,392","209,902","38,742"
Feb 2005,"282,790","32,984","31,289","64,273","89,939","93,166","183,105","35,412"
Mar 2005,"329,924","37,885","36,908","74,793","109,037","107,495","216,532","38,599"
Apr 2005,"314,893","29,183","29,682","58,865","108,806","110,755","219,561","36,467"
May 2005,"312,594","28,915","33,449","62,364","109,408","108,611","218,019","32,211"
Jun 2005,"337,726","32,527","30,802","63,329","124,902","115,704","240,606","33,791"
TOTAL,"4,070,395","432,782","423,831","856,613","1,372,547","1,388,135","2,760,682","453,100"
FY2006,Total,Arrival,Departure,Total,Arrival,Departure,Total,T1 & T2
Jul 2005,"400,035","39,539","35,738","75,277","144,630","146,471","291,101","33,657"
Aug 2005,"408,214","40,035","45,420","85,455","143,657","147,826","291,483","31,276"
Sep 2005,"379,564","38,903","36,548","75,451","136,273","133,301","269,574","34,539"
Oct 2005,"375,369","38,138","34,447","72,585","129,012","138,596","267,608","35,176"
Nov 2005,"346,282","39,087","37,300","76,387","115,510","120,925","236,435","33,460"
Dec 2005,"343,523","38,984","34,344","73,328","117,634","116,742","234,376","35,819"
Jan 2006,"343,722","39,227","36,401","75,628","110,428","118,720","229,148","38,946"
Feb 2006,"283,595","33,602","30,506","64,108","90,049","95,399","185,448","34,039"
Mar 2006,"310,101","35,522","34,474","69,996","102,909","104,219","207,128","32,977"
Apr 2006,"320,363","31,078","31,788","62,866","113,660","114,395","228,055","29,442"
May 2006,"308,554","29,398","31,109","60,507","108,701","109,968","218,669","29,378"
Jun 2006,"343,135","32,435","32,372","64,807","127,244","116,417","243,661","34,667"
TOTAL,"4,162,457","435,948","420,447","856,395","1,439,707","1,462,979","2,902,686","403,376"
