date,financial_year,month_label,calendar_year,calendar_month,total_passengers,intl_arrivals,intl_departures,intl_total,dom_arrivals,dom_departures,dom_total,transit_transfer
1/07/2004,FY2005,Jul-04,2004,7,389426,39424,36587,76011,135134,137283,272417,40998
1/08/2004,FY2005,Aug-04,2004,8,387617,37727,43391,81118,132192,135418,267610,38889
1/09/2004,FY2005,Sep-04,2004,9,357195,37204,35114,72318,124900,121142,246042,38835
1/10/2004,FY2005,Oct-04,2004,10,373819,41186,37888,79074,122802,130897,253699,41046
1/11/2004,FY2005,Nov-04,2004,11,338058,39977,38299,78276,107294,112858,220152,39630
1/12/2004,FY2005,Dec-04,2004,12,320191,36593,32081,68674,106623,106414,213037,38480
1/01/2005,FY2005,Jan-05,2005,1,326162,39177,38341,77518,101510,108392,209902,38742
1/02/2005,FY2005,Feb-05,2005,2,282790,32984,31289,64273,89939,93166,183105,35412
1/03/2005,FY2005,Mar-05,2005,3,329924,37885,36908,74793,109037,107495,216532,38599
1/04/2005,FY2005,Apr-05,2005,4,314893,29183,29682,58865,108806,110755,219561,36467
1/05/2005,FY2005,May-05,2005,5,312594,28915,33449,62364,109408,108611,218019,32211
1/06/2005,FY2005,Jun-05,2005,6,337726,32527,30802,63329,124902,115704,240606,33791
1/07/2005,FY2006,Jul-05,2005,7,400035,39539,35738,75277,144630,146471,291101,33657
1/08/2005,FY2006,Aug-05,2005,8,408214,40035,45420,85455,143657,147826,291483,31276
1/09/2005,FY2006,Sep-05,2005,9,379564,38903,36548,75451,136273,133301,269574,34539
1/10/2005,FY2006,Oct-05,2005,10,375369,38138,34447,72585,129012,138596,267608,35176
1/11/2005,FY2006,Nov-05,2005,11,346282,39087,37300,76387,115510,120925,236435,33460
1/12/2005,FY2006,Dec-05,2005,12,343523,38984,34344,73328,117634,116742,234376,35819
1/01/2006,FY2006,Jan-06,2006,1,343722,39227,36401,75628,110428,118720,229148,38946
1/02/2006,FY2006,Feb-06,2006,2,283595,33602,30506,64108,90049,95399,185448,34039
1/03/2006,FY2006,Mar-06,2006,3,310101,35522,34474,69996,102909,104219,207128,32977
1/04/2006,FY2006,Apr-06,2006,4,320363,31078,31788,62866,113660,114395,228055,29442
1/05/2006,FY2006,May-06,2006,5,308554,29398,31109,60507,108701,109968,218669,29378
1/06/2006,FY2006,Jun-06,2006,6,343135,32435,32372,64807,127244,116417,243661,34667
1/07/2006,FY2007,Jul-06,2006,7,403829,34081,34991,69072,153577,151231,304808,29949
1/08/2006,FY2007,Aug-06,2006,8,390291,35717,42441,78158,143371,144644,288015,24118
1/09/2006,FY2007,Sep-06,2006,9,373367,34195,35120,69315,141897,138474,280371,23681
1/10/2006,FY2007,Oct-06,2006,10,384037,36101,33449,69550,141427,146039,287466,27021
1/11/2006,FY2007,Nov-06,2006,11,351026,34593,33681,68274,126157,127958,254115,28637
1/12/2006,FY2007,Dec-06,2006,12,342125,35620,32498,68118,121337,121478,242815,31192
1/01/2007,FY2007,Jan-07,2007,1,340620,31261,31755,63016,114338,120585,234923,42681
1/02/2007,FY2007,Feb-07,2007,2,297492,30609,26237,56846,99646,104058,203704,36942
1/03/2007,FY2007,Mar-07,2007,3,325289,31867,30734,62601,111638,112697,224335,38353
1/04/2007,FY2007,Apr-07,2007,4,323288,25064,26814,51878,118831,119346,238177,33233
1/05/2007,FY2007,May-07,2007,5,312260,23394,26824,50218,116041,114663,230704,31338
1/06/2007,FY2007,Jun-07,2007,6,344146,29044,28477,57521,130413,121439,251852,34773
1/07/2007,FY2008,Jul-07,2007,7,408222,34901,32851,67752,152332,152301,304633,35837
1/08/2007,FY2008,Aug-07,2007,8,396635,36349,39754,76103,144752,148579,293331,27201
1/09/2007,FY2008,Sep-07,2007,9,366786,30698,33178,63876,140602,134851,275453,27457
1/10/2007,FY2008,Oct-07,2007,10,389737,36750,34331,71081,143078,148140,291218,27438
1/11/2007,FY2008,Nov-07,2007,11,350044,34064,32646,66710,127674,132553,260227,23107
1/12/2007,FY2008,Dec-07,2007,12,334878,31937,30425,62362,124465,121367,245832,26684
1/01/2008,FY2008,Jan-08,2008,1,335049,31407,31110,62517,116007,125595,241602,30930
1/02/2008,FY2008,Feb-08,2008,2,303295,33199,27787,60986,105065,111810,216875,25434
1/03/2008,FY2008,Mar-08,2008,3,326801,32338,31317,63655,119234,119002,238236,24910
1/04/2008,FY2008,Apr-08,2008,4,314908,26478,28143,54621,117185,116491,233676,26611
1/05/2008,FY2008,May-08,2008,5,319098,26745,27556,54301,118793,120626,239419,25378
1/06/2008,FY2008,Jun-08,2008,6,339707,27222,27252,54474,133276,124204,257480,27753
1/07/2008,FY2009,Jul-08,2008,7,403149,34111,30906,65017,152844,153672,306516,31616
1/08/2008,FY2009,Aug-08,2008,8,396327,37054,39808,76862,144332,149560,293892,25573
1/09/2008,FY2009,Sep-08,2008,9,365125,30491,30419,60910,141930,133708,275638,28577
1/10/2008,FY2009,Oct-08,2008,10,389611,33675,30578,64253,144745,152436,297181,28177
1/11/2008,FY2009,Nov-08,2008,11,348890,31322,32492,63814,128391,130988,259379,25697
1/12/2008,FY2009,Dec-08,2008,12,323895,25057,24655,49712,128137,122783,250920,23263
1/01/2009,FY2009,Jan-09,2009,1,323631,23422,21088,44510,125071,134296,259367,19754
1/02/2009,FY2009,Feb-09,2009,2,252666,18152,17178,35330,99017,102557,201574,15762
1/03/2009,FY2009,Mar-09,2009,3,286994,21192,20824,42016,115203,112754,227957,17021
1/04/2009,FY2009,Apr-09,2009,4,304286,19287,19259,38546,123247,122789,246036,19704
1/05/2009,FY2009,May-09,2009,5,287706,18496,19521,38017,115596,116698,232294,17395
1/06/2009,FY2009,Jun-09,2009,6,293725,19859,19512,39371,121281,114387,235668,18686
1/07/2009,FY2010,Jul-09,2009,7,366035,25323,25454,50777,147322,146846,294168,21090
1/08/2009,FY2010,Aug-09,2009,8,348265,24251,26041,50292,136978,143035,280013,17960
1/09/2009,FY2010,Sep-09,2009,9,332091,22923,22982,45905,137013,130289,267302,18884
1/10/2009,FY2010,Oct-09,2009,10,348127,23163,22125,45288,140288,143900,284188,18651
1/11/2009,FY2010,Nov-09,2009,11,309097,19462,20236,39698,125141,127052,252193,17206
1/12/2009,FY2010,Dec-09,2009,12,298602,23017,20914,43931,120395,116695,237090,17581
1/01/2010,FY2010,Jan-10,2010,1,288907,20897,21766,42663,110050,118644,228694,17550
1/02/2010,FY2010,Feb-10,2010,2,274027,23645,20891,44536,105288,109524,214812,14679
1/03/2010,FY2010,Mar-10,2010,3,284315,22145,22123,44268,113702,108948,222650,17397
1/04/2010,FY2010,Apr-10,2010,4,309646,25728,26244,51972,117959,120986,238945,18729
1/05/2010,FY2010,May-10,2010,5,296011,22868,25596,48464,115477,113871,229348,18199
1/06/2010,FY2010,Jun-10,2010,6,330419,25509,26782,52291,134332,122058,256390,21738
1/07/2010,FY2011,Jul-10,2010,7,390777,31874,28735,60609,152491,154476,306967,23201
1/08/2010,FY2011,Aug-10,2010,8,378404,31508,34486,65994,142843,148703,291546,20864
1/09/2010,FY2011,Sep-10,2010,9,370439,29797,30118,59915,148806,139897,288703,21821
1/10/2010,FY2011,Oct-10,2010,10,386013,30423,28991,59414,148962,154798,303760,22839
1/11/2010,FY2011,Nov-10,2010,11,342889,27412,27933,55345,131827,134753,266580,20964
1/12/2010,FY2011,Dec-10,2010,12,352870,28537,28282,56819,139963,132686,272649,23402
1/01/2011,FY2011,Jan-11,2011,1,331655,27882,27927,55809,123862,129685,253547,22299
1/02/2011,FY2011,Feb-11,2011,2,272039,24152,22625,46777,102887,105591,208478,16784
1/03/2011,FY2011,Mar-11,2011,3,300623,25146,24956,50102,115619,115143,230762,19759
1/04/2011,FY2011,Apr-11,2011,4,330534,25607,26149,51756,129999,125715,255714,23064
1/05/2011,FY2011,May-11,2011,5,318270,23037,26276,49313,123056,123146,246202,22755
1/06/2011,FY2011,Jun-11,2011,6,345976,29004,29233,58237,136102,127014,263116,24623
1/07/2011,FY2012,Jul-11,2011,7,412434,26350,23966,50316,163810,162600,326410,35708
1/08/2011,FY2012,Aug-11,2011,8,396940,25660,28643,54303,154756,158849,313605,29032
1/09/2011,FY2012,Sep-11,2011,9,370587,23821,26746,50567,150295,140203,290498,29522
1/10/2011,FY2012,Oct-11,2011,10,385751,24146,25172,49318,152458,155801,308259,28174
1/11/2011,FY2012,Nov-11,2011,11,344366,19110,20673,39783,138762,140919,279681,24902
1/12/2011,FY2012,Dec-11,2011,12,344720,21453,20845,42298,140583,135113,275696,26726
1/01/2012,FY2012,Jan-12,2012,1,358803,25217,24660,49877,137861,145388,283249,25677
1/02/2012,FY2012,Feb-12,2012,2,283965,20038,18201,38239,110174,114124,224298,21428
1/03/2012,FY2012,Mar-12,2012,3,321469,21524,21944,43468,127686,126173,253859,24142
1/04/2012,FY2012,Apr-12,2012,4,346999,22255,19897,42152,138209,140621,278830,26017
1/05/2012,FY2012,May-12,2012,5,329837,19886,19626,39512,133306,131765,265071,25254
1/06/2012,FY2012,Jun-12,2012,6,360080,20822,20136,40958,149523,140832,290355,28767
1/07/2012,FY2013,Jul-12,2012,7,422973,26390,20465,46855,171081,177770,348851,27267
1/08/2012,FY2013,Aug-12,2012,8,406411,27393,28795,56188,161213,165478,326691,23532
1/09/2012,FY2013,Sep-12,2012,9,386579,22622,24688,47310,162745,151735,314480,24789
1/10/2012,FY2013,Oct-12,2012,10,415364,24881,22744,47625,167360,175985,343345,24394
1/11/2012,FY2013,Nov-12,2012,11,379795,24468,24484,48952,153084,157215,310299,20544
1/12/2012,FY2013,Dec-12,2012,12,366311,23809,24720,48529,151086,142165,293251,24531
1/01/2013,FY2013,Jan-13,2013,1,363740,23770,24356,48126,140494,149999,290493,25121
1/02/2013,FY2013,Feb-13,2013,2,320880,24588,24463,49051,125545,126851,252396,19433
1/03/2013,FY2013,Mar-13,2013,3,329159,22110,23905,46015,134382,125454,259836,23308
1/04/2013,FY2013,Apr-13,2013,4,353865,19553,21804,41357,142436,145665,288101,24407
1/05/2013,FY2013,May-13,2013,5,323424,16473,20370,36843,133984,129889,263873,22708
1/06/2013,FY2013,Jun-13,2013,6,373093,16747,20622,37369,162891,146895,309786,25938
1/07/2013,FY2014,Jul-13,2013,7,441696,24127,21594,45721,183216,187749,370965,25010
1/08/2013,FY2014,Aug-13,2013,8,427088,24771,29721,54492,174808,176621,351429,21167
1/09/2013,FY2014,Sep-13,2013,9,403747,20526,23968,44494,173452,161825,335277,23976
1/10/2013,FY2014,Oct-13,2013,10,423080,23713,23264,46977,172442,179417,351859,24244
1/11/2013,FY2014,Nov-13,2013,11,365208,18373,20867,39240,150904,152308,303212,22756
1/12/2013,FY2014,Dec-13,2013,12,389760,21091,24061,45152,165113,154532,319645,24963
1/01/2014,FY2014,Jan-14,2014,1,402250,24802,23822,48624,160570,168589,329159,24467
1/02/2014,FY2014,Feb-14,2014,2,322164,21192,22235,43427,127441,132189,259630,19107
1/03/2014,FY2014,Mar-14,2014,3,331710,19724,21133,40857,135987,134558,270545,20308
1/04/2014,FY2014,Apr-14,2014,4,361552,15346,17141,32487,154687,153579,308266,20799
1/05/2014,FY2014,May-14,2014,5,330398,14328,15952,30280,139599,139295,278894,21224
1/06/2014,FY2014,Jun-14,2014,6,357618,15639,17266,32905,157353,144895,302248,22465
1/07/2014,FY2015,Jul-14,2014,7,446656,24049,19072,43121,189061,191007,380068,23467
1/08/2014,FY2015,Aug-14,2014,8,429021,23795,26846,50641,176613,182572,359185,19195
1/09/2014,FY2015,Sep-14,2014,9,406135,19426,22755,42181,178139,166114,344253,19701
1/10/2014,FY2015,Oct-14,2014,10,428053,24545,21458,46003,177287,184935,362222,19828
