date_key,year,month,dom_inbound,dom_outbound,dom_total,intl_inbound,intl_outbound,intl_total,total_inbound,total_outbound,total_pax
2009-01-01,2009,1,130359,138023,268382,18537,16984,35521,148896,155007,303903
2009-02-01,2009,2,102988,106588,209576,15352,14234,29586,118340,120822,239162
2009-03-01,2009,3,118938,118160,237098,18198,17539,35737,137136,135699,272835
2009-04-01,2009,4,128098,127789,255887,16231,15879,32110,144329,143668,287997
2009-05-01,2009,5,120353,121254,241607,14333,15001,29334,134686,136255,270941
2009-06-01,2009,6,126032,121247,247279,14746,14498,29244,140778,135745,276523
2009-07-01,2009,7,155297,153463,308760,17755,16377,34132,173052,169840,342892
2009-08-01,2009,8,142390,147829,290219,18813,19954,38767,161203,167783,328986
2009-09-01,2009,9,141266,135231,276497,18699,18824,37523,159965,154055,314020
2009-10-01,2009,10,144382,145780,290162,18559,17194,35753,162941,162974,325915
2009-11-01,2009,11,130274,131348,261622,16111,16589,32700,146385,147937,294322
2009-12-01,2009,12,124533,121771,246304,18047,16349,34396,142580,138120,280700
2010-01-01,2010,1,115618,122164,237782,16968,16811,33779,132586,138975,271561
2010-02-01,2010,2,109475,113285,222760,18708,15744,34452,128183,129029,257212
2010-03-01,2010,3,117633,114623,232256,18641,18119,36760,136274,132742,269016
2010-04-01,2010,4,123075,126177,249252,19035,19013,38048,142110,145190,287300
2010-05-01,2010,5,120298,118481,238779,16586,18067,34653,136884,136548,273432
2010-06-01,2010,6,138996,129471,268467,17905,18512,36417,156901,147983,304884
2010-07-01,2010,7,159579,160532,320111,24341,20546,44887,183920,181078,364998
2010-08-01,2010,8,149446,153659,303105,24728,27474,52202,174174,181133,355307
2010-09-01,2010,9,155627,146363,301990,24691,24656,49347,180318,171019,351337
2010-10-01,2010,10,155810,161684,317494,23636,21613,45249,179446,183297,362743
2010-11-01,2010,11,137290,140552,277842,22274,22039,44313,159564,162591,322155
2010-12-01,2010,12,145414,138845,284259,22953,22813,45766,168367,161658,330025
2011-01-01,2011,1,129363,135005,264368,22107,22050,44157,151470,157055,308525
2011-02-01,2011,2,107247,110367,217614,18556,16331,34887,125803,126698,252501
2011-03-01,2011,3,120947,121066,242013,19990,19163,39153,140937,140229,281166
2011-04-01,2011,4,138443,134419,272862,18519,18859,37378,156962,153278,310240
2011-05-01,2011,5,130729,130933,261662,17356,18504,35860,148085,149437,297522
2011-06-01,2011,6,146939,138109,285048,19085,18693,37778,166024,156802,322826
2011-07-01,2011,7,168361,169448,337809,26916,22192,49108,195277,191640,386917
2011-08-01,2011,8,155585,161361,316946,25287,27519,52806,180872,188880,369752
2011-09-01,2011,9,152813,144176,296989,23082,24708,47790,175895,168884,344779
2011-10-01,2011,10,152406,159147,311553,23564,21727,45291,175970,180874,356844
2011-11-01,2011,11,136771,140387,277158,19625,19528,39153,156396,159915,316311
2011-12-01,2011,12,141033,136042,277075,20453,20258,40711,161486,156300,317786
2012-01-01,2012,1,137858,145152,283010,20310,19523,39833,158168,164675,322843
2012-02-01,2012,2,109778,114481,224259,19335,17247,36582,129113,131728,260841
2012-03-01,2012,3,129302,127120,256422,20417,20853,41270,149719,147973,297692
2012-04-01,2012,4,143393,143788,287181,19108,19012,38120,162501,162800,325301
2012-05-01,2012,5,137338,134226,271564,17032,18281,35313,154370,152507,306877
2012-06-01,2012,6,154180,144376,298556,18641,19582,38223,172821,163958,336779
2012-07-01,2012,7,174535,179859,354394,24553,20007,44560,199088,199866,398954
2012-08-01,2012,8,161718,168050,329768,25790,27104,52894,187508,195154,382662
2012-09-01,2012,9,162460,154247,316707,22772,24224,46996,185232,178471,363703
2012-10-01,2012,10,166184,177593,343777,23142,20398,43540,189326,197991,387317
2012-11-01,2012,11,151728,157888,309616,23103,23068,46171,174831,180956,355787
2012-12-01,2012,12,150197,143744,293941,23186,24671,47857,173383,168415,341798
2013-01-01,2013,1,139922,152258,292180,23084,21479,44563,163006,173737,336743
2013-02-01,2013,2,123938,128914,252852,21829,20189,42018,145767,149103,294870
2013-03-01,2013,3,133590,128582,262172,21533,21190,42723,155123,149772,304895
2013-04-01,2013,4,144224,151242,295466,18953,18806,37759,163177,170048,333225
2013-05-01,2013,5,136268,134823,271091,15953,17390,33343,152221,152213,304434
2013-06-01,2013,6,165711,152438,318149,16920,18395,35315,182631,170833,353464
2013-07-01,2013,7,184689,193806,378495,24150,19409,43559,208839,213215,422054
2013-08-01,2013,8,175719,181971,357690,24696,27564,52260,200415,209535,409950
2013-09-01,2013,9,174335,166530,340865,20101,21374,41475,194436,187904,382340
2013-10-01,2013,10,171668,182915,354583,22144,18929,41073,193812,201844,395656
2013-11-01,2013,11,150984,155655,306639,17798,18220,36018,168782,173875,342657
2013-12-01,2013,12,165079,159070,324149,20333,21652,41985,185412,180722,366134
2014-01-01,2014,1,160822,172757,333579,23911,20221,44132,184733,192978,377711
2014-02-01,2014,2,126598,135121,261719,20129,19117,39246,146727,154238,300965
2014-03-01,2014,3,135222,137603,272825,19065,18792,37857,154287,156395,310682
2014-04-01,2014,4,156096,155713,311809,14670,16394,31064,170766,172107,342873
2014-05-01,2014,5,140494,140629,281123,13715,15252,28967,154209,155881,310090
2014-06-01,2014,6,157186,146090,303276,15273,16675,31948,172459,162765,335224
2014-07-01,2014,7,190882,193790,384672,23638,18074,41712,214520,211864,426384
2014-08-01,2014,8,176583,183251,359834,23182,26286,49468,199765,209537,409302
2014-09-01,2014,9,176654,165752,342406,19242,22088,41330,195896,187840,383736
2014-10-01,2014,10,175380,184351,359731,21715,18589,40304,197095,202940,400035
2014-11-01,2014,11,154640,159052,313692,16906,17259,34165,171546,176311,347857
2014-12-01,2014,12,171023,161710,332733,19374,21343,40717,190397,183053,373450
2015-01-01,2015,1,152476,165203,317679,22204,20752,42956,174680,185955,360635
2015-02-01,2015,2,140012,144177,284189,24375,20661,45036,164387,164838,329225
2015-03-01,2015,3,142490,140180,282670,19341,21334,40675,161831,161514,323345
2015-04-01,2015,4,155106,159990,315096,18491,19824,38315,173597,179814,353411
2015-05-01,2015,5,145872,144667,290539,17628,19137,36765,163500,163804,327304
2015-06-01,2015,6,166490,152862,319352,17394,19542,36936,183884,172404,356288
2015-07-01,2015,7,192616,197402,390018,28199,23289,51488,220815,220691,441506
2015-08-01,2015,8,181781,189008,370789,27312,30336,57648,209093,219344,428437
2015-09-01,2015,9,180672,171210,351882,23846,26196,50042,204518,197406,401924
2015-10-01,2015,10,178571,187352,365923,25590,23096,48686,204161,210448,414609
2015-11-01,2015,11,165109,167707,332816,21836,23067,44903,186945,190774,377719
2015-12-01,2015,12,182390,171966,354356,24899,27384,52283,207289,199350,406639
2016-01-01,2016,1,166392,180143,346535,28354,25600,53954,194746,205743,400489
2016-02-01,2016,2,147359,150684,298043,29128,28700,57828,176487,179384,355871
2016-03-01,2016,3,161725,158261,319986,26429,29816,56245,188154,188077,376231
2016-04-01,2016,4,158962,163293,322255,25976,25867,51843,184938,189160,374098
2016-05-01,2016,5,153667,154045,307712,18986,22772,41758,172653,176817,349470
2016-06-01,2016,6,177835,162796,340631,20267,23078,43345,198102,185874,383976
2016-07-01,2016,7,205259,208746,414005,28946,24878,53824,234205,233624,467829
2016-08-01,2016,8,189152,195768,384920,28342,33282,61624,217494,229050,446544
2016-09-01,2016,9,191670,182330,374000,27185,29632,56817,218855,211962,430817
2016-10-01,2016,10,190492,197416,387908,27703,26910,54613,218195,224326,442521
2016-11-01,2016,11,171693,174915,346608,23821,26864,50685,195514,201779,397293
2016-12-01,2016,12,188179,177439,365618,28437,31320,59757,216616,208759,425375
2017-01-01,2017,1,179645,190243,369888,31070,29762,60832,210715,220005,430720
2017-02-01,2017,2,136709,142652,279361,24322,24762,49084,161031,167414,328445
2017-03-01,2017,3,159059,158396,317455,27174,30646,57820,186233,189042,375275
2017-04-01,2017,4,181848,180316,362164,24815,27684,52499,206663,208000,414663
2017-05-01,2017,5,155382,157929,313311,19798,24128,43926,175180,182057,357237
2017-06-01,2017,6,173798,161089,334887,22086,24497,46583,195884,185586,381470
2017-07-01,2017,7,208892,213575,422467,31200,26249,57449,240092,239824,479916
2017-08-01,2017,8,190495,196881,387376,30565,36935,67500,221060,233816,454876
2017-09-01,2017,9,192190,182477,374667,27687,28833,56520,219877,211310,431187
2017-10-01,2017,10,193857,204903,398760,27636,27173,54809,221493,232076,453569
2017-11-01,2017,11,174737,176302,351039,24211,27170,51381,198948,203472,402420
2017-12-01,2017,12,187915,179021,366936,29556,34214,63770,217471,213235,430706
2018-01-01,2018,1,174815,189015,363830,33610,29869,63479,208425,218884,427309
2018-02-01,2018,2,148120,153832,301952,29756,28672,58428,177876,182504,360380
2018-03-01,2018,3,166498,160548,327046,28706,30677,59383,195204,191225,386429
2018-04-01,2018,4,169060,177203,346263,24471,25518,49989,193531,202721,396252
2018-05-01,2018,5,160164,161252,321416,20491,23509,44000,180655,184761,365416
2018-06-01,2018,6,172358,162744,335102,22089,23370,45459,194447,186114,380561
2018-07-01,2018,7,210462,214490,424952,32402,27031,59433,242864,241521,484385
2018-08-01,2018,8,196958,203255,400213,33261,36904,70165,230219,240159,470378
2018-09-01,2018,9,186993,181215,368208,26298,27264,53562,213291,208479,421770
2018-10-01,2018,10,191602,202568,394170,28446,26124,54570,220048,228692,448740
2018-11-01,2018,11,169838,173124,342962,22546,22310,44856,192384,195434,387818
2018-12-01,2018,12,182221,174912,357133,28415,30812,59227,210636,205724,416360
2019-01-01,2019,1,165466,182593,348059,35119,28466,63585,200585,211059,411644
