date_key,year,month,year_qtr_sort,rainfall_mm,severe_event,is_severe
2009-01-01,2009,1,20091,868.0,,0
2009-02-01,2009,2,20091,620.0,,0
2009-03-01,2009,3,20091,152.0,,0
2009-04-01,2009,4,20092,134.0,,0
2009-05-01,2009,5,20092,87.2,,0
2009-06-01,2009,6,20092,4.4,,0
2009-07-01,2009,7,20093,5.0,,0
2009-08-01,2009,8,20093,8.0,,0
2009-09-01,2009,9,20093,3.6,,0
2009-10-01,2009,10,20094,30.8,,0
2009-11-01,2009,11,20094,208.2,,0
2009-12-01,2009,12,20094,78.2,,0
2010-01-01,2010,1,20101,696.6,,0
2010-02-01,2010,2,20101,290.8,,0
2010-03-01,2010,3,20101,436.2,,0
2010-04-01,2010,4,20102,252.8,,0
2010-05-01,2010,5,20102,30.6,,0
2010-06-01,2010,6,20102,10.8,,0
2010-07-01,2010,7,20103,36.6,,0
2010-08-01,2010,8,20103,62.6,,0
2010-09-01,2010,9,20103,91.8,,0
2010-10-01,2010,10,20104,184.6,,0
2010-11-01,2010,11,20104,204.4,,0
2010-12-01,2010,12,20104,362.0,TC Tasha + Dec 2010 floods,1
2011-01-01,2011,1,20111,410.0,,0
2011-02-01,2011,2,20111,999.2,Severe TC Yasi,1
2011-03-01,2011,3,20111,402.0,,0
2011-04-01,2011,4,20112,65.8,,0
2011-05-01,2011,5,20112,13.6,,0
2011-06-01,2011,6,20112,69.2,,0
2011-07-01,2011,7,20113,12.0,,0
2011-08-01,2011,8,20113,9.6,,0
2011-09-01,2011,9,20113,14.0,,0
2011-10-01,2011,10,20114,394.4,,0
2011-11-01,2011,11,20114,82.0,,0
2011-12-01,2011,12,20114,151.4,,0
2012-01-01,2012,1,20121,355.4,,0
2012-02-01,2012,2,20121,268.2,,0
2012-03-01,2012,3,20121,907.6,,0
2012-04-01,2012,4,20122,156.6,,0
2012-05-01,2012,5,20122,144.2,,0
2012-06-01,2012,6,20122,15.6,,0
2012-07-01,2012,7,20123,43.6,,0
2012-08-01,2012,8,20123,5.8,,0
2012-09-01,2012,9,20123,13.0,,0
2012-10-01,2012,10,20124,29.0,,0
2012-11-01,2012,11,20124,21.8,,0
2012-12-01,2012,12,20124,42.6,,0
2013-01-01,2013,1,20131,326.8,,0
2013-02-01,2013,2,20131,116.8,,0
2013-03-01,2013,3,20131,183.6,,0
2013-04-01,2013,4,20132,93.4,,0
2013-05-01,2013,5,20132,172.4,,0
2013-06-01,2013,6,20132,27.0,,0
2013-07-01,2013,7,20133,37.6,,0
2013-08-01,2013,8,20133,3.6,,0
2013-09-01,2013,9,20133,43.6,,0
2013-10-01,2013,10,20134,41.8,,0
2013-11-01,2013,11,20134,165.2,,0
2013-12-01,2013,12,20134,56.8,,0
2014-01-01,2014,1,20141,323.0,,0
2014-02-01,2014,2,20141,395.8,,0
2014-03-01,2014,3,20141,419.4,,0
2014-04-01,2014,4,20142,358.8,Severe TC Ita,1
2014-05-01,2014,5,20142,92.8,,0
2014-06-01,2014,6,20142,71.6,,0
2014-07-01,2014,7,20143,14.4,,0
2014-08-01,2014,8,20143,29.8,,0
2014-09-01,2014,9,20143,1.8,,0
2014-10-01,2014,10,20144,13.8,,0
2014-11-01,2014,11,20144,19.2,,0
2014-12-01,2014,12,20144,86.2,,0
2015-01-01,2015,1,20151,210.8,,0
2015-02-01,2015,2,20151,596.2,,0
2015-03-01,2015,3,20151,241.2,,0
2015-04-01,2015,4,20152,83.2,,0
2015-05-01,2015,5,20152,27.4,,0
2015-06-01,2015,6,20152,177.6,,0
2015-07-01,2015,7,20153,25.0,,0
2015-08-01,2015,8,20153,17.0,,0
2015-09-01,2015,9,20153,13.0,,0
2015-10-01,2015,10,20154,64.8,,0
2015-11-01,2015,11,20154,92.4,,0
2015-12-01,2015,12,20154,357.8,,0
2016-01-01,2016,1,20161,288.8,,0
2016-02-01,2016,2,20161,136.0,,0
2016-03-01,2016,3,20161,258.2,Ex-TC Winston (regional rain),1
2016-04-01,2016,4,20162,152.8,,0
2016-05-01,2016,5,20162,180.0,,0
2016-06-01,2016,6,20162,66.6,,0
2016-07-01,2016,7,20163,85.0,,0
2016-08-01,2016,8,20163,41.8,,0
2016-09-01,2016,9,20163,49.0,,0
2016-10-01,2016,10,20164,70.6,,0
2016-11-01,2016,11,20164,17.6,,0
2016-12-01,2016,12,20164,56.8,,0
2017-01-01,2017,1,20171,9.8,,0
2017-02-01,2017,2,20171,479.0,,0
2017-03-01,2017,3,20171,102.0,,0
2017-04-01,2017,4,20172,178.6,,0
2017-05-01,2017,5,20172,71.4,,0
2017-06-01,2017,6,20172,34.8,,0
2017-07-01,2017,7,20173,50.7,,0
2017-08-01,2017,8,20173,1.6,,0
2017-09-01,2017,9,20173,47.6,,0
2017-10-01,2017,10,20174,186.2,,0
2017-11-01,2017,11,20174,98.0,,0
2017-12-01,2017,12,20174,24.3,,0
2018-01-01,2018,1,20181,648.2,,0
2018-02-01,2018,2,20181,290.2,,0
2018-03-01,2018,3,20181,880.4,Ex-TC Nora flash flooding,1
2018-04-01,2018,4,20182,45.2,,0
2018-05-01,2018,5,20182,45.0,,0
2018-06-01,2018,6,20182,20.0,,0
2018-07-01,2018,7,20183,45.6,,0
2018-08-01,2018,8,20183,1.4,,0
2018-09-01,2018,9,20183,7.4,,0
2018-10-01,2018,10,20184,14.6,,0
2018-11-01,2018,11,20184,28.2,,0
2018-12-01,2018,12,20184,785.1,TC Owen,1
