"199705"  -9.9  -9.9 9999.9 999.9  99.9  99.9"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 199705 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Patched Point Data system is constructed from observational data obtained from the Bureau of Meteorology and other suppliers "
"and is freely available under the Creative Commons Attribution 4.0 International (CC BY 4.0) licence. Under this licence users can copy, modify, and redistribute the data, provided they acknowledge SILO as the data source and indicate if any changes were made to the data."
" "
"Notes:"
" * Patched Point data for station: 31011 CAIRNS AERO                              Lat: -16.87 Long:  145.75"
" * Elevation: 2 m "
" * Extracted from SILO 'BoM Only' dataset on 20260624 "
" * Please read the documentation on the Patched Point Data, http://www.longpaddock.qld.gov.au/silo"
" "
" * The accuracy of the data depends on many factors including date, location, and variable"
"   for consistency data is supplied using one decimal place, however it is not accurate to that precision."
" "
" * Evaporation data prior to 1970 and Temperatures, Solar Radiation, and "
"   Vapour Pressure data prior to 1957 are all long term averages."
"===================================================================================================="
Yr.Mth Avg   Avg   Tot   Tot    Avg   Avg
YYYYMM TMax  TMin  Rain  Evap   Rad    VP
()     (oC)  (oC)  (mm)  (mm) (MJ/m2) (hPa)
20090100  30.9  24.1  868.0 157.6  18.0  28.7
20090200  31.2  24.3  620.0 145.5  19.2  29.0
20090300  31.4  23.4  152.0 214.7  23.0  25.9
20090400  30.7  21.7  134.0 184.5  19.3  24.8
20090500  27.3  19.7   87.2 139.2  15.1  21.0
20090600  27.6  18.0    4.4 144.0  16.7  19.3
20090700  27.0  16.6    5.0 165.4  17.0  17.0
20090800  28.3  17.5    8.0 202.2  19.7  18.4
20090900  30.0  19.7    3.6 223.0  22.2  19.0
20091000  30.2  19.8   30.8 223.0  22.8  19.8
20091100  29.9  21.5  208.2 197.1  21.6  24.0
20091200  31.7  23.4   78.2 213.0  23.4  26.1
20100100  31.1  24.2  696.6 174.1  16.4  29.0
20100200  32.2  24.4  290.8 154.6  21.8  28.4
20100300  31.0  23.7  436.2 178.7  18.9  26.9
20100400  29.0  23.0  252.8 123.2  14.7  26.7
20100500  28.4  21.3   30.6 149.2  17.5  22.4
20100600  27.8  19.7   10.8 158.4  16.2  19.6
20100700  27.5  20.8   36.6 135.4  12.7  22.0
20100800  28.0  19.6   62.6 161.6  16.9  20.1
20100900  29.9  22.5   91.8 164.2  18.6  25.0
20101000  29.7  22.3  184.6 190.4  20.1  24.7
20101100  30.5  22.8  204.4 172.0  20.3  26.0
20101200  31.7  24.2  362.0 181.6  21.8  29.2
20110100  31.2  23.8  410.0 146.4  19.3  28.1
20110200  30.6  23.7  999.2 154.2  16.8  28.5
20110300  30.7  24.0  402.0 144.9  18.1  28.8
20110400  29.2  21.8   65.8 155.0  18.0  23.8
20110500  28.0  18.1   13.6 177.2  18.0  18.3
20110600  26.1  15.6   69.2 151.2  16.1  16.2
20110700  26.0  16.7   12.0 159.4  16.5  16.8
20110800  27.3  17.0    9.6 191.2  18.6  16.6
20110900  28.0  18.1   14.0 219.4  21.3  17.5
20111000  29.8  21.1  394.4 195.3  20.9  22.9
20111100  30.9  22.8   82.0 214.4  22.5  25.4
20111200  31.9  24.1  151.4 191.0  21.4  27.0
20120100  31.5  23.5  355.4 185.8  25.3  27.3
20120200  31.9  24.1  268.2 176.9  20.5  28.2
20120300  30.2  23.6  907.6 162.7  15.9  28.3
20120400  29.7  21.0  156.6 163.0  17.7  23.5
20120500  27.4  20.4  144.2 159.0  15.9  21.0
20120600  26.0  16.5   15.6 131.0  17.0  18.5
20120700  25.8  18.0   43.6 161.2  17.4  17.7
20120800  27.2  16.7    5.8 187.4  20.2  17.1
20120900  28.9  18.9   13.0 198.0  21.7  19.3
20121000  29.9  20.4   29.0 248.4  22.5  20.6
20121100  31.3  22.0   21.8 225.8  24.3  23.4
20121200  32.8  23.1   42.6 271.0  26.3  24.6
20130100  32.7  24.0  326.8 220.6  21.9  27.7
20130200  32.6  24.2  116.8 198.0  23.3  27.8
20130300  30.8  23.4  183.6 165.8  18.8  27.1
20130400  29.4  21.8   93.4 160.0  19.0  24.8
20130500  27.6  20.9  172.4 139.8  15.0  22.9
20130600  26.9  19.1   27.0 150.2  15.6  19.9
20130700  26.4  18.7   37.6 159.0  15.1  19.0
20130800  27.9  16.2    3.6 189.6  20.5  17.3
20130900  28.5  18.4   43.6 194.6  23.4  20.3
20131000  30.6  21.1   41.8 239.8  23.5  21.7
20131100  30.5  22.9  165.2 193.2  21.1  25.4
20131200  31.0  22.4   56.8 227.4  24.3  24.8
20140100  31.7  24.1  323.0 205.7  20.4  27.8
20140200  30.2  23.6  395.8 141.0  16.7  28.1
20140300  30.1  23.3  419.4 164.8  18.1  27.0
20140400  29.6  23.2  358.8 168.6  17.4  26.2
20140500  27.8  20.3   92.8 144.4  16.1  21.7
20140600  26.0  19.0   71.6 134.0  14.0  20.0
20140700  26.2  15.9   14.4 160.2  16.8  16.8
20140800  26.6  17.2   29.8 174.4  17.9  18.1
20140900  28.9  17.3    1.8 216.0  22.3  18.1
20141000  30.3  19.6   13.8 277.4  24.8  19.1
20141100  31.9  22.1   19.2 252.8  23.3  23.0
20141200  32.6  24.2   86.2 235.3  23.5  26.2
20150100  32.9  24.7  210.8 192.0  20.3  27.9
20150200  31.5  23.9  596.2 175.4  19.7  27.9
20150300  31.7  24.0  241.2 219.0  19.9  27.1
20150400  30.3  21.9   83.2 181.8  18.8  24.1
20150500  28.8  20.0   27.4 174.0  16.9  21.1
20150600  26.8  20.1  177.6 129.7  14.0  21.4
20150700  25.9  17.4   25.0 145.8  16.4  18.6
20150800  27.1  16.4   17.0 171.8  19.4  17.9
20150900  28.8  18.6   13.0 184.1  21.3  19.1
20151000  29.0  20.0   64.8 232.9  22.1  21.4
20151100  30.6  22.9   92.4 204.0  22.1  25.7
20151200  30.9  23.5  357.8 210.9  18.1  26.6
20160100  32.2  23.8  288.8 206.5  22.9  27.7
20160200  33.2  24.3  136.0 190.9  23.1  28.5
20160300  31.8  24.0  258.2 162.8  18.6  28.7
20160400  30.4  22.9  152.8 174.2  18.8  26.5
20160500  29.3  22.6  180.0 144.3  15.7  26.1
20160600  27.6  20.3   66.6 109.5  14.9  23.5
20160700  27.2  19.3   85.0 117.8  15.8  21.5
20160800  26.8  18.5   41.8 154.3  17.7  19.7
20160900  29.0  21.1   49.0 159.1  20.0  24.6
20161000  29.8  21.4   70.6 230.9  23.4  23.0
20161100  32.1  22.6   17.6 233.7  26.0  24.0
20161200  32.5  23.6   56.8 221.3  24.4  25.8
20170100  32.2  24.6    9.8 200.6  21.6  30.3
20170200  31.9  24.5  479.0 164.7  21.4  29.4
20170300  32.5  24.3  102.0 166.7  22.5  29.6
20170400  29.7  22.0  178.6 162.2  17.7  24.7
20170500  28.4  20.5   71.4 143.3  17.2  22.4
20170600  26.2  18.9   34.8 123.1  14.4  19.0
20170700  27.0  19.4   50.7 130.5  16.2  20.5
20170800  28.5  18.4    1.6 177.9  19.5  19.3
20170900  29.1  19.2   47.6 188.6  21.3  20.1
