date,day_num,day_of_week,week_num,month_num,month_name,quarter,year,is_weekend,quarter_label,year_qtr_sort,year_qtr_label
2009-01-01,4,Thursday,1,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-02,5,Friday,1,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-03,6,Saturday,1,1,January,1,2009,1,Q1,20091,Q1 2009
2009-01-04,7,Sunday,1,1,January,1,2009,1,Q1,20091,Q1 2009
2009-01-05,1,Monday,2,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-06,2,Tuesday,2,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-07,3,Wednesday,2,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-08,4,Thursday,2,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-09,5,Friday,2,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-10,6,Saturday,2,1,January,1,2009,1,Q1,20091,Q1 2009
2009-01-11,7,Sunday,2,1,January,1,2009,1,Q1,20091,Q1 2009
2009-01-12,1,Monday,3,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-13,2,Tuesday,3,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-14,3,Wednesday,3,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-15,4,Thursday,3,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-16,5,Friday,3,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-17,6,Saturday,3,1,January,1,2009,1,Q1,20091,Q1 2009
2009-01-18,7,Sunday,3,1,January,1,2009,1,Q1,20091,Q1 2009
2009-01-19,1,Monday,4,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-20,2,Tuesday,4,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-21,3,Wednesday,4,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-22,4,Thursday,4,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-23,5,Friday,4,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-24,6,Saturday,4,1,January,1,2009,1,Q1,20091,Q1 2009
2009-01-25,7,Sunday,4,1,January,1,2009,1,Q1,20091,Q1 2009
2009-01-26,1,Monday,5,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-27,2,Tuesday,5,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-28,3,Wednesday,5,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-29,4,Thursday,5,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-30,5,Friday,5,1,January,1,2009,0,Q1,20091,Q1 2009
2009-01-31,6,Saturday,5,1,January,1,2009,1,Q1,20091,Q1 2009
2009-02-01,7,Sunday,5,2,February,1,2009,1,Q1,20091,Q1 2009
2009-02-02,1,Monday,6,2,February,1,2009,0,Q1,20091,Q1 2009
2009-02-03,2,Tuesday,6,2,February,1,2009,0,Q1,20091,Q1 2009
2009-02-04,3,Wednesday,6,2,February,1,2009,0,Q1,20091,Q1 2009
2009-02-05,4,Thursday,6,2,February,1,2009,0,Q1,20091,Q1 2009
2009-02-06,5,Friday,6,2,February,1,2009,0,Q1,20091,Q1 2009
2009-02-07,6,Saturday,6,2,February,1,2009,1,Q1,20091,Q1 2009
2009-02-08,7,Sunday,6,2,February,1,2009,1,Q1,20091,Q1 2009
2009-02-09,1,Monday,7,2,February,1,2009,0,Q1,20091,Q1 2009
2009-02-10,2,Tuesday,7,2,February,1,2009,0,Q1,20091,Q1 2009
2009-02-11,3,Wednesday,7,2,February,1,2009,0,Q1,20091,Q1 2009
2009-02-12,4,Thursday,7,2,February,1,2009,0,Q1,20091,Q1 2009
