year_qtr_sort,year,quarter,trimmed_mean_yoy
20091,2009,1,4.1
20092,2009,2,3.6
20093,2009,3,3.1
20094,2009,4,3.2
20101,2010,1,3.1
20102,2010,2,2.8
20103,2010,3,2.6
20104,2010,4,2.2
20111,2011,1,2.2
20112,2011,2,2.7
20113,2011,3,2.5
20114,2011,4,2.7
20121,2012,1,2.3
20122,2012,2,2.0
20123,2012,3,2.3
20124,2012,4,2.2
20131,2013,1,2.3
20132,2013,2,2.4
20133,2013,3,2.4
20134,2013,4,2.7
20141,2014,1,2.7
20142,2014,2,2.8
20143,2014,3,2.4
20144,2014,4,2.2
20151,2015,1,2.3
20152,2015,2,2.2
20153,2015,3,2.1
20154,2015,4,2.1
20161,2016,1,1.7
20162,2016,2,1.6
20163,2016,3,1.6
20164,2016,4,1.5
20171,2017,1,1.7
20172,2017,2,1.7
20173,2017,3,1.7
20174,2017,4,1.7
20181,2018,1,1.7
20182,2018,2,1.6
20183,2018,3,1.7
20184,2018,4,1.8
20191,2019,1,1.6
20192,2019,2,1.6
20193,2019,3,1.5
20194,2019,4,1.5
20201,2020,1,1.7
20202,2020,2,1.2
20203,2020,3,1.2
20204,2020,4,1.2
20211,2021,1,1.1
20212,2021,2,1.6
20213,2021,3,2.1
20214,2021,4,2.6
20221,2022,1,3.8
20222,2022,2,4.9
20223,2022,3,6.0
20224,2022,4,6.8
20231,2023,1,6.5
20232,2023,2,5.8
20233,2023,3,5.1
20234,2023,4,4.2
20241,2024,1,4.1
20242,2024,2,4.1
20243,2024,3,3.6
20244,2024,4,3.3
20251,2025,1,2.9
20252,2025,2,2.7
20253,2025,3,3.0
20254,2025,4,3.4
20261,2026,1,3.5
