date,passengers,foc,total
2022-05-01,0,0,0
2022-05-02,0,0,0
2022-05-03,138,0,138
2022-05-04,123,0,123
2022-05-05,143,0,143
2022-05-06,149,2,151
2022-05-07,0,0,0
2022-05-08,0,0,0
2022-05-09,0,0,0
2022-05-10,98,0,98
2022-05-11,71,0,71
2022-05-12,47,0,47
2022-05-13,133,0,133
2022-05-14,149,2,151
2022-05-15,0,0,0
2022-05-16,0,0,0
2022-05-17,149,0,149
2022-05-18,125,0,125
2022-05-19,106,0,106
2022-05-20,136,0,136
2022-05-21,135,0,135
2022-05-22,0,0,0
2022-05-23,0,0,0
2022-05-24,146,0,146
2022-05-25,149,0,149
2022-05-26,130,0,130
2022-05-27,149,0,149
2022-05-28,146,5,151
2022-05-29,0,0,0
2022-05-30,0,0,0
2022-06-01,0,0,0
2022-06-02,151,2,153
2022-06-03,144,3,147
2022-06-04,153,6,159
2022-06-05,0,0,0
2022-06-06,0,0,0
2022-06-07,147,0,147
2022-06-08,124,7,131
2022-06-09,0,0,0
2022-06-10,142,0,142
2022-06-11,145,5,150
2022-06-12,0,0,0
2022-06-13,0,0,0
2022-06-14,150,3,153
2022-06-15,150,0,150
2022-06-16,153,0,153
2022-06-17,0,0,0
2022-06-18,153,0,153
2022-06-19,0,0,0
2022-06-20,153,0,153
2022-06-21,143,0,143
2022-06-22,139,0,139
2022-06-23,0,0,0
2022-06-24,148,1,149
2022-06-25,149,1,150
2022-06-26,132,0,132
2022-06-27,0,0,0
2022-06-28,0,0,0
2022-06-29,118,0,118
2022-06-30,140,1,141
2022-07-01,115,0,115
2022-07-02,155,1,156
2022-07-03,149,0,149
2022-07-04,147,0,147
2022-07-05,133,0,133
2022-07-06,147,0,147
2022-07-07,154,0,154
2022-07-08,148,1,149
2022-07-09,142,1,143
2022-07-10,145,0,145
2022-07-11,152,0,152
2022-07-12,158,1,159
2022-07-13,154,1,155
2022-07-14,145,0,145
2022-07-15,151,0,151
2022-07-16,145,1,146
2022-07-17,136,2,138
2022-07-18,135,5,140
2022-07-19,149,0,149
2022-07-20,147,0,147
2022-07-21,144,8,152
2022-07-22,157,0,157
2022-07-23,160,0,160
2022-07-24,153,0,153
2022-07-25,149,3,152
2022-07-26,148,0,148
2022-07-27,148,0,148
2022-07-28,122,0,122
2022-07-29,148,2,150
2022-07-30,116,0,116
2022-07-31,119,0,119
2022-08-01,146,0,146
2022-08-02,90,1,91
2022-08-03,113,0,113
2022-08-04,149,1,150
2022-08-05,148,3,151
2022-08-06,150,0,150
2022-08-07,170,0,170
2022-08-08,0,0,0
2022-08-09,163,0,163
2022-08-10,150,0,150
2022-08-11,137,0,137
2022-08-12,152,0,152
2022-08-13,156,0,156
2022-08-14,157,0,157
2022-08-15,157,3,160
2022-08-16,161,0,161
2022-08-17,150,2,152
2022-08-18,158,1,159
2022-08-19,160,0,160
2022-08-20,160,1,161
2022-08-21,147,0,147
2022-08-22,140,0,140
2022-08-23,0,0,0
2022-08-24,155,0,155
2022-08-25,133,0,133
2022-08-26,147,0,147
2022-08-27,90,2,92
2022-08-28,85,0,85
2022-08-29,75,0,75
2022-08-30,121,2,123
2022-08-31,0,0,0
2022-09-01,149,0,149
2022-09-02,108,0,108
2022-09-03,146,0,146
2022-09-04,136,0,136
2022-09-05,149,0,149
2022-09-06,148,0,148
2022-09-07,153,0,153
2022-09-08,122,0,122
2022-09-09,150,0,150
2022-09-10,151,0,151
2022-09-11,148,1,149
2022-09-12,152,3,155
2022-09-13,153,1,154
2022-09-14,148,0,148
2022-09-15,139,0,139
2022-09-16,153,1,154
2022-09-17,151,5,156
2022-09-18,152,3,155
2022-09-19,146,1,147
2022-09-20,164,1,165
2022-09-21,162,0,162
2022-09-22,157,0,157
2022-09-23,168,0,168
2022-09-24,156,2,158
2022-09-25,162,0,162
2022-09-26,163,0,163
2022-09-27,157,0,157
2022-09-28,160,0,160
2022-09-29,163,0,163
2022-09-30,165,1,166
2022-10-01,158,1,159
2022-10-02,168,3,171
2022-10-03,167,0,167
2022-10-04,154,2,156
2022-10-05,150,0,150
2022-10-06,72,0,72
2022-10-07,150,0,150
2022-10-08,152,0,152
2022-10-09,148,0,148
2022-10-10,151,0,151
2022-10-11,159,0,159
2022-10-12,148,0,148
2022-10-13,159,3,162
2022-10-14,149,2,151
2022-10-15,150,0,150
2022-10-16,147,0,147
2022-10-17,160,1,161
2022-10-18,152,0,152
2022-10-19,157,1,158
2022-10-20,154,1,155
2022-10-21,131,0,131
2022-10-22,164,0,164
2022-10-23,158,0,158
2022-10-24,159,0,159
2022-10-25,102,0,102
2022-10-26,0,0,0
2022-10-27,159,0,159
2022-10-28,158,0,158
2022-10-29,160,2,162
2022-10-30,153,6,159
2022-10-31,168,2,170
2022-11-01,162,1,163
2022-11-02,154,0,154
2022-11-03,146,1,147
2022-11-04,154,1,155
2022-11-05,145,3,148
2022-11-06,151,0,151
2022-11-07,150,0,150
2022-11-08,157,0,157
2022-11-09,159,0,159
2022-11-10,160,0,160
2022-11-11,159,0,159
2022-11-12,164,1,165
2022-11-13,158,1,159
2022-11-14,160,1,161
2022-11-15,132,0,132
2022-11-16,142,2,144
2022-11-17,155,1,156
2022-11-18,161,0,161
2022-11-19,164,0,164
2022-11-20,160,0,160
2022-11-21,161,0,161
2022-11-22,167,0,167
2022-11-23,173,1,174
2022-11-24,151,0,151
2022-11-25,154,0,154
2022-11-26,155,0,155
2022-11-27,157,0,157
2022-11-28,154,0,154
2022-11-29,152,1,153
2022-11-30,113,0,113
2022-12-01,155,0,155
2022-12-02,154,0,154
2022-12-03,138,0,138
2022-12-04,145,2,147
2022-12-05,152,0,152
2022-12-06,144,0,144
2022-12-07,133,1,134
2022-12-08,119,0,119
2022-12-09,77,0,77
2022-12-10,142,0,142
2022-12-11,110,0,110
2022-12-12,149,0,149
2022-12-13,147,0,147
2022-12-14,149,0,149
2022-12-15,0,0,0
2022-12-16,157,0,157
2022-12-17,166,3,169
2022-12-18,136,0,136
2022-12-19,159,0,159
2022-12-20,141,0,141
