year_qtr_sort,rainfall_mm,airport_inbound,year,reef_visits,quarter,rainfall_mm_anom,airport_inbound_anom,reef_visits_anom
20091,1640.0,413571.0,2009,,1,349.70624999999995,-67993.0,
20092,225.6,432032.0,2009,,2,-89.37500000000003,-96393.40000000002,
20093,16.6,510464.0,2009,,3,-90.25999999999999,-115489.93333333335,
20094,317.2,466211.0,2009,,4,-124.77333333333337,-107441.53333333333,
20101,1423.6,407174.0,2010,,1,133.30624999999986,-74390.0,
20102,294.2,454380.0,2010,,2,-20.775000000000034,-74045.40000000002,
20103,191.0,558758.0,2010,,3,84.14,-67195.93333333335,
20104,751.0,525517.0,2010,,4,309.02666666666664,-48135.533333333326,
20111,1811.2,432269.0,2011,,1,520.90625,-49295.0,
20112,148.6,487871.0,2011,,2,-166.37500000000003,-40554.40000000002,
20113,35.6,571148.0,2011,,3,-71.25999999999999,-54805.93333333335,
20114,627.8,513472.0,2011,,4,185.8266666666666,-60180.533333333326,
20121,1531.2,452209.0,2012,,1,240.90625,-29355.0,
20122,316.4,497562.0,2012,,2,1.4249999999999545,-30863.400000000023,
20123,62.4,581964.0,2012,,3,-44.46,-43989.93333333335,
20124,93.4,550293.0,2012,,4,-348.5733333333334,-23359.533333333326,
20131,627.2,475004.0,2013,,1,-663.09375,-6560.0,
20132,292.8,503921.0,2013,,2,-22.17500000000001,-24504.400000000023,
20133,84.8,612106.0,2013,,3,-22.060000000000002,-13847.933333333349,
20134,263.8,560172.0,2013,,4,-178.17333333333335,-13480.533333333326,
20141,1138.2,496514.0,2014,,1,-152.09375,14950.0,
20142,523.2,500989.0,2014,,2,208.22500000000002,-27436.400000000023,
20143,46.0,613996.0,2014,,3,-60.86,-11957.933333333349,
20144,119.2,564003.0,2014,,4,-322.77333333333337,-9649.533333333326,
20151,1048.2,504259.0,2015,,1,-242.09375,22695.0,
20152,288.2,526253.0,2015,,2,-26.775000000000034,-2172.4000000000233,
20153,55.0,640538.0,2015,,3,-51.86,14584.066666666651,
20154,515.0,604689.0,2015,,4,73.02666666666664,31036.466666666674,
20161,683.0,563778.0,2016,240638.0,1,-607.29375,82214.0,71303.66666666666
20162,399.4,559658.0,2016,175087.0,2,84.42499999999995,31232.599999999977,15696.0
20163,175.8,673974.0,2016,251900.0,3,68.94000000000001,48020.06666666665,35912.5
20164,145.0,635945.0,2016,239009.0,4,-296.97333333333336,62292.466666666674,35967.25
20171,590.8,560679.0,2017,222880.0,1,-699.4937500000001,79115.0,53545.66666666666
20172,284.8,581950.0,2017,182057.0,2,-30.17500000000001,53524.59999999998,22666.0
20173,99.9,685854.0,2017,247508.0,3,-6.959999999999994,59900.06666666665,31520.5
20174,308.5,642586.0,2017,241016.0,4,-133.47333333333336,68933.46666666667,37974.25
20181,1818.8,585226.0,2018,227229.0,1,528.5062499999999,103662.0,57894.66666666666
20182,110.2,570954.0,2018,176536.0,2,-204.77500000000003,42528.59999999998,17145.0
20183,54.4,688401.0,2018,243457.0,3,-52.46,62447.06666666665,27469.5
20184,827.9,627776.0,2018,218555.0,4,385.9266666666666,54123.466666666674,15513.25
20191,1573.4,548356.0,2019,193391.0,1,283.10625000000005,66792.0,24056.666666666657
20192,401.5,568053.0,2019,168020.0,2,86.52499999999998,39627.59999999998,8629.0
20193,66.5,665597.0,2019,224929.0,3,-40.36,39643.06666666665,8941.5
20194,156.6,611544.0,2019,219695.0,4,-285.37333333333333,37891.466666666674,16653.25
20201,959.8,430996.0,2020,150121.0,1,-330.4937500000001,-50568.0,-19213.333333333343
20202,256.7,21836.0,2020,2152.0,2,-58.275000000000034,-506589.4,-157239.0
20203,102.4,165224.0,2020,44466.0,3,-4.459999999999994,-460729.93333333335,-171521.5
20204,267.7,230847.0,2020,63261.0,4,-174.27333333333337,-342805.5333333333,-139780.75
